
----- Run Fri Aug 12 10:37:53 2022-----
 9.25     3500000     3497130     3500000     3495655     3500000     3495664
 9.50     3500000     3497130     3500000     3495655     3500000     3495710
 9.75     3500000     3497130     3500000     3495728     3500000     3495710

----- Run Fri Aug 12 11:44:38 2022-----
               motor 12                motor 13                motor 14                
 0.00     3500000     3499455     3500000     3499876     3500000     3500837
 0.25     3448248     3448039     3442336     3442435     3440711     3442060
 0.50     3090646     3091469     3091704     3071162     3064816     3066758
 0.75     2358463     2359523     2326076     2327103     2317508     2319788
 1.00     1385566     1386207     1351685     1353998     1342800     1345429
 1.25      571652      547594      547925      549195      541766      519147
 1.50      105404      106236       96672       98078       94453       96448
 1.75         476        1646         489        1710         218        2433
 2.00       23346       18968       26918       22291       27914       24204
 2.25      293647      289030      310599      305875      315151      312751
 2.50      945082      972810      975408      971171      983449     1012507
 2.75     1897940     1893419     1932662     1927283     1941785     1939021
 3.00     2795973     2791405     2794576     2817377     2829120     2826240
 3.25     3328409     3336381     3340272     3335895     3343308     3340583
 3.50     3495348     3490565     3496430     3491736     3496684     3493284
 3.75     3490387     3489769     3490536     3489448     3490031     3488953
 4.00     3300508     3301408     3287326     3288801     3283677     3286246
 4.25     2707307     2708586     2709517     2681147     2672336     2674729
 4.50     1784682     1785826     1787438     1752253     1741502     1743711
 4.75      879787      880708      851468      853232      843879      846787
 5.00      242322      243226      228062      229557      224295      226261
 5.25       13906       15123       14100       15552       13464       13667
 5.50        1890        1985        2615        2561        2833        3815
 5.75      136848      132512      136293      143177      150580      147929
 6.00      624899      647542      650212      645856      656954      654609
 6.25     1495912     1491694     1530431     1526282     1539533     1537498
 6.50     2460812     2456669     2459167     2487275     2467379     2497410
 6.75     3152649     3167183     3170731     3166230     3175399     3173280
 7.00     3464615     3459868     3464379     3464353     3465547     3466798
 7.25     3499959     3495473     3499885     3495618     3499694     3496827
 7.50     3419892     3421470     3420287     3413807     3401191     3403672
 7.75     3022741     3024068     3000635     3002378     2970748     2973099
 8.00     2217677     2217460     2184213     2185041     2139864     2142341
 8.25     1241684     1242634     1243425     1210874     1165801     1167094
 8.50      473530      451610      452045      453413      424588      425288
 8.75       71210       72215       64426       65879       56149       58463
 9.00           6        1124           6        1371           0        2259
 9.25       41127       36043       46243       41553       59947       58125
 9.50      370220      365889      389515      384904      437376      434104
 9.75     1077653     1106560     1109442     1105314     1185925     1217420

----- Run Fri Aug 12 12:25:25 2022-----
               motor 12                motor 13                motor 14                
     demand      actual      
demand      actual      
demand      actual      
 0.00     3500000     3499235     3500000     3499363     3500000     3500892
 0.25     3450031     3449650     3441364     3441245     3436521     3437648
 0.50     3117657     3118229     3088527     3067674     3072980     3074824
 0.75     2368630     2369282     2320938     2321720     2330355     2298155
 1.00     1432214     1432908     1381991     1348588     1356132     1358751
 1.25      579250      579710      544226      545359      526526      528056
 1.50      118130      108891       95336       96568       97794       90965
 1.75         925        1893         449        1362         284        2745
 2.00       22287       17842       27513       22840       30507       27189
 2.25      271335      283445      313326      308439      308338      324077
 2.50      935584      930467      980229     1007151     1003660     1000459
 2.75     1886959     1882304     1938136     1932584     1964564     1961873
 3.00     2759223     2782505     2826387     2821534     2818843     2843159
 3.25     3324555     3319490     3342097     3337177     3350741     3348073
 3.50     3494966     3489787     3496584     3491297     3497266     3494063
 3.75     3492765     3491032     3488069     3487187     3488638     3489641
 4.00     3304674     3305189     3285142     3286311     3274016     3276369
 4.25     2745221     2717228     2675337     2676277     2682821     2655659
 4.50     1832426     1833506     1781927     1746293     1754365     1756254
 4.75      889055      889653      846911      848353      824289      826417
 5.00      263232      247776      225798      227168      229578      231343
 5.25       17495       18373       13716       14985       11903       14354
 5.50        1692        1573        2744        2470        2531        4320
 5.75      122877      118000      137962      144907      146491      143919
 6.00      617008      612239      654253      649629      674639      672499
 6.25     1485036     1480122     1535891     1531730     1526791     1560625
 6.50     2417764     2413246     2464097     2491898     2488619     2486149
 6.75     3146825     3142161     3173536     3168931     3187356     3184807
 7.00     3458155     3458018     3469545     3464481     3468467     3469224
 7.25     3499973     3495326     3499867     3495261     3499760     3497093
 7.50     3422251     3423695     3410850     3412040     3404331     3406758
 7.75     3029613     3030815     2973172     2974656     2979207     2981615
 8.00     2228198     2228291     2178910     2179585     2152315     2154884
